Wavelength[nm],T% at AOI 0 deg
1100,0.001206953661
1099.5,0.0001097605127
1099,-0.0008068112656
1098.5,0.00264971354
1098,0.0008608777425
1097.5,8.85E-05
1097,0.001914396533
1096.5,0.0005923351855
1096,0.001962486655
1095.5,0.002149457578
1095,0.002834207844
1094.5,0.001425922848
1094,0.002496059518
1093.5,0.001090096775
1093,0.001607463346
1092.5,0.0007771612145
1092,0.002418580465
1091.5,0.002324271481
1091,0.001187289949
1090.5,0.001073868712
1090,0.00197243155
1089.5,0.000481819734
1089,0.001573004061
1088.5,0.0006032763631
1088,0.0004177583905
1087.5,0.001942248316
1087,0.001631485065
1086.5,-0.0007604699349
1086,0.001128109987
1085.5,0.0004673835647
1085,0.000195098939
1084.5,0.0002721511701
1084,-0.0006736944197
1083.5,0.0008254321874
1083,-0.001013993518
1082.5,0.0002852814505
1082,0.001736472943
1081.5,0.0003591921413
1081,1.85E-06
1080.5,-0.0001106810014
1080,0.0004228451871
1079.5,0.0005817580968
1079,-0.0005050846958
1078.5,0.001680471702
1078,0.001421213965
1077.5,0.0003706896387
1077,-0.001438306761
1076.5,0.0001035742243
1076,-0.0005040749093
1075.5,0.001490618219
1075,0.001408912591
1074.5,0.0007478156476
1074,-0.0001717554551
1073.5,-0.0002567745978
1073,-0.001113793813
1072.5,0.001398561872
1072,-0.000500906317
1071.5,0.000334396027
1071,0.001887397026
1070.5,-0.0005361250369
1070,-0.000170833795
1069.5,0.001282299985
1069,0.0009627930121
1068.5,-2.82E-05
1068,-0.001478466322
1067.5,8.44E-05
1067,0.0004149063316
1066.5,0.0006748040323
1066,0.001117801876
1065.5,0.0004791246611
1065,0.001217275276
1064.5,0.0004616812803
1064,-0.0002009530872
1063.5,-0.0003601591161
1063,0.0005073979846
1062.5,0.0002651434916
1062,-0.0004160608223
1061.5,0.0008920765249
1061,-0.0004123152466
1060.5,-0.0001456822938
1060,-4.36E-05
1059.5,-0.0005762053188
1059,-0.0005327037652
1058.5,0.0001800069003
1058,0.0004466301179
1057.5,0.001758747734
1057,0.0008518702234
1056.5,-0.0005682092742
1056,0.0004683930019
1055.5,0.0005910431501
1055,0.000452754146
1054.5,0.001875713002
1054,0.001652047271
1053.5,0.001583391568
1053,0.0002317158942
1052.5,0.0003363276483
1052,0.0001586961152
1051.5,-5.33E-05
1051,0.0003304373531
1050.5,-0.001117088483
1050,0.0004508294805
1049.5,-0.0003112598497
1049,0.0006638543564
1048.5,0.001092366641
1048,0.0003444524482
1047.5,0.0002647485526
1047,0.0001466026588
1046.5,0.00139364996
1046,0.0007790758973
1045.5,0.000698791584
1045,0.0006180533092
1044.5,1.83E-05
1044,-0.0008965834277
1043.5,0.0008718958125
1043,0.0006580964546
1042.5,0.0004400457838
1042,-0.0004474509333
1041.5,-0.0006675495533
1041,0.0009806879098
1040.5,-0.0004706882464
1040,-0.0002778526396
1039.5,0.0001770064846
1039,0.001547614695
1038.5,-0.000113926515
1038,0.000340000377
1037.5,-0.0008929991745
1037,-0.000466492842
1036.5,-0.0005526838941
1036,-0.0007365231868
1035.5,0.001271685818
1035,0.0009139409522
1034.5,0.0004497530463
1034,0.001321651391
1033.5,0.00102613389
1033,-0.0008024972631
1032.5,-0.0002078487159
1032,0.0007782921894
1031.5,-0.0003400563728
1031,-0.0006665918045
1030.5,-0.0001495568431
1030,0.001372268423
1029.5,4.33E-05
1029,0.0007344121695
1028.5,0.0003377728863
1028,-0.0003015428374
1027.5,0.001044224482
1027,-7.76E-05
1026.5,0.001630880637
1026,0.0004129948211
1025.5,-0.001232783543
1025,0.0004459778138
1024.5,-0.0003100661561
1024,0.0004173122288
1023.5,0.0006312767509
1023,0.0002945331798
1022.5,-0.0005096428213
1022,0.0009639801574
1021.5,0.0002502647985
1021,-0.001351131941
1020.5,-0.000243339673
1020,0.0008757747128
1019.5,-0.0002125734754
1019,0.0004786766076
1018.5,0.0008842473035
1018,0.001050364925
1017.5,0.0001292583911
1017,6.35E-05
1016.5,0.001675803098
1016,0.0008405147237
1015.5,-6.60E-05
1015,-0.001407354372
1014.5,-0.0003740726388
1014,0.0003558777971
1013.5,-0.0001568527514
1013,-0.0004342526663
1012.5,-0.0003186159011
1012,-0.0002168311476
1011.5,0.0009672145243
1011,0.001057537273
1010.5,-0.0003868216008
1010,-0.0005279824254
1009.5,-0.0008792966837
1009,-0.0003659115173
1008.5,-0.0002297812171
1008,0.0006757256924
1007.5,7.04E-05
1007,0.0004643922148
1006.5,0.001420838409
1006,6.31E-05
1005.5,0.0007830631803
1005,0.0004174092319
1004.5,0.0001201893829
1004,0.001253199182
1003.5,0.0002225510834
1003,0.0007657033857
1002.5,0.0008704815409
1002,-0.0002059797698
1001.5,0.0008793250308
1001,0.0001749122748
1000.5,0.0007130375598
1000,-3.95E-05
999.5,-0.0007286481559
999,-0.0006791343912
998.5,0.001220826176
998,-0.0001979923982
997.5,0.0006761623081
997,-0.001487640198
996.5,0.0004112732422
996,0.0006179693155
995.5,-0.0003574260627
995,0.000914582517
994.5,3.39E-05
994,-0.0001832720882
993.5,0.0002115629904
993,0.0009258201462
992.5,-6.55E-05
992,-0.0002027379378
991.5,-0.0004410743131
991,-0.000924912456
990.5,-0.0002568070777
990,0.001111507532
989.5,0.0004844087816
989,-0.0003717227955
988.5,0.0009775613435
988,0.0007986967103
987.5,-0.0009418277768
987,0.00144944049
986.5,-0.0004670024791
986,-2.59E-06
985.5,2.06E-05
985,0.0004069913412
984.5,-0.001354046864
984,-0.001025032951
983.5,0.0004487909027
983,4.34E-05
982.5,0.001604993129
982,0.0007900741184
981.5,0.0002822269162
981,0.0005172126112
980.5,0.0005839887308
980,0.000337008154
979.5,-0.001130307792
979,-0.0004532599123
978.5,0.0004776934511
978,6.97E-05
977.5,-0.0007667797036
977,-0.0005870114546
976.5,-0.0002613105171
976,0.001334632863
975.5,0.001234931406
975,-0.0001975354971
974.5,-0.0003017769777
974,0.000899851264
973.5,0.0001829564426
973,-0.0002330487478
972.5,0.001025013044
972,-0.0002624636982
971.5,0.001412372338
971,0.0008115323726
970.5,-0.0004594047787
970,0.0003414519015
969.5,-8.04E-05
969,0.0007525310502
968.5,0.0008047848241
968,0.0003418789711
967.5,-0.0003315595386
967,0.0003297045478
966.5,-0.0002490223851
966,-0.001421879162
965.5,-0.0009940201417
965,8.55E-06
964.5,0.0003712078324
964,0.0005938266986
963.5,0.0009260442457
963,-0.000871446915
962.5,-0.0001284578029
962,-0.0009192579309
961.5,0.000347185065
961,0.0005727765965
960.5,0.00176820124
960,0.000877783983
959.5,0.00126378017
959,0.001142938738
958.5,0.0007283776067
958,0.0009879176505
957.5,0.0001219674814
957,4.66E-05
956.5,0.001460715081
956,-0.0001283606107
955.5,0.0004592657206
955,-0.0009969293606
954.5,-7.77E-05
954,0.001063380972
953.5,0.000707328727
953,-0.001683242386
952.5,0.0002276122541
952,0.001237696852
951.5,0.001777895144
951,-0.001236926415
950.5,0.0002659146267
950,-0.001436649356
949.5,-0.0003393242077
949,-0.001295528491
948.5,0.000393788825
948,-0.0004186160513
947.5,-0.0005664749187
947,-0.0002711260458
946.5,-0.0001844452927
946,0.0007693240186
945.5,0.0009249761351
945,0.001602091128
944.5,0.0004466056998
944,0.001749260584
943.5,-0.000517121458
943,-0.0003402603325
942.5,-0.001234731055
942,0.0011298022
941.5,0.0001034593442
941,-4.00E-05
940.5,-0.0001172618358
940,-0.0002412514441
939.5,0.0003248053545
939,0.001078143949
938.5,-8.48E-05
938,-0.0002235209249
937.5,0.001320134965
937,0.0002918922401
936.5,-0.0001850461122
936,0.0004130196758
935.5,0.0002791177249
935,0.00123634655
934.5,0.000504007854
934,-0.0003078336304
933.5,-0.000774477201
933,-0.0007322066231
932.5,0.001216311241
932,-0.0003887437342
931.5,-0.0003179437772
931,-0.0006457095733
930.5,8.80E-05
930,-0.0001904559613
929.5,5.71E-05
929,-8.43E-05
928.5,0.0005467228475
928,-0.0003573993454
927.5,0.0006007207558
927,0.001213849173
926.5,8.89E-06
926,0.0007248882321
925.5,-0.0003662074159
925,0.0006682433886
924.5,-0.0003875711118
924,-4.71E-05
923.5,0.0001927772682
923,0.0004967399291
922.5,-7.54E-05
922,-3.06E-05
921.5,-0.001731902012
921,0.0004715809482
920.5,0.0004977216013
920,0.0004111523158
919.5,0.000445717742
919,0.0004904537927
918.5,0.001183994813
918,-0.000683345017
917.5,-0.0004890211858
917,6.20E-06
916.5,0.001208357979
916,0.0002494146756
915.5,-0.0003316410002
915,0.001719156164
914.5,-0.0009177178727
914,0.001134118414
913.5,0.001203797176
913,0.001385424985
912.5,0.0007034271257
912,-0.0008490056498
911.5,0.0002297953906
911,0.0009887602646
910.5,0.0007686684257
910,7.42E-05
909.5,-0.0009685922414
909,-1.50E-05
908.5,0.0004629027972
908,0.001373414765
907.5,0.0001620691764
907,0.000613291515
906.5,-0.0004838236782
906,0.0006413608207
905.5,0.0006019593566
905,0.002029053634
904.5,0.001195006422
904,0.0002760521893
903.5,-0.0001112635946
903,0.0003150951234
902.5,-0.001076334855
902,-0.0005609903019
901.5,0.0007454663864
901,-0.000126321509
900.5,0.0005484614521
900,-0.0003571377019
899.5,0.01118239481
899,0.006704607047
898.5,0.006988745183
898,0.004432746675
897.5,0.002670183312
897,0.007520797197
896.5,0.001208476955
896,0.004616872873
895.5,0.004920000676
895,0.006048412994
894.5,0.00472014118
894,0.00549785886
893.5,7.16E-05
893,0.006035825703
892.5,0.003873065813
892,0.004422612488
891.5,0.002986467909
891,0.006113607436
890.5,0.001463878201
890,0.003810252994
889.5,0.001994887367
889,0.003071640851
888.5,0.004729045555
888,0.004053440876
887.5,0.003815565724
887,0.0008362579392
886.5,0.002545658033
886,0.002748594619
885.5,0.001973276492
885,0.002358343452
884.5,0.0006177068572
884,0.001839787699
883.5,0.0009731969913
883,0.001162124216
882.5,0.002419826575
882,0.001982254675
881.5,0.00174296624
881,0.001137455343
880.5,0.001435510698
880,0.002378263511
879.5,0.001234956551
879,0.0006523153279
878.5,0.001568230451
878,0.001135406783
877.5,0.001384968054
877,0.0005079006078
876.5,0.001443719841
876,0.0008913066122
875.5,0.0005961511051
875,0.001540266909
874.5,0.0002725940139
874,0.0009590743575
873.5,0.0006040940061
873,0.0009167218232
872.5,0.0006344386493
872,0.0006566753727
871.5,0.0001733439713
871,0.0001471038559
870.5,0.0003441755543
870,0.000191053623
869.5,0.0006629790878
869,0.0005482157576
868.5,0.0006746100262
868,0.000283028261
867.5,-6.98E-05
867,0.0001681653666
866.5,0.0002045130241
866,0.0002711169655
865.5,0.0006011876976
865,0.0002861476387
864.5,0.0003920862509
864,0.0003010781656
863.5,0.0003385499876
863,5.75E-06
862.5,0.0003150312405
862,0.0003126573574
861.5,0.0001965237461
861,1.20E-05
860.5,-0.0001947043493
860,0.0003604430822
859.5,0.0001385042706
859,-9.08E-05
858.5,-0.0001819364843
858,0.0001690162608
857.5,0.0002143908932
857,0.0001472036674
856.5,0.0003409877245
856,0.0004328740179
855.5,0.0004562989052
855,0.0004471168213
854.5,8.59E-05
854,-4.16E-07
853.5,-8.99E-05
853,-8.57E-05
852.5,-9.28E-05
852,-1.96E-05
851.5,0.0001506675617
851,0.0002816010383
850.5,9.77E-05
850,-4.35E-05
849.5,-0.0001551181485
849,0.0005968333571
848.5,6.00E-05
848,1.61E-05
847.5,3.32E-05
847,0.0002286594972
846.5,6.75E-05
846,-0.0003165938251
845.5,0.0002562041045
845,-8.68E-05
844.5,2.63E-05
844,1.05E-05
843.5,-0.0003900319862
843,0.000454728608
842.5,3.76E-05
842,-0.0001653433137
841.5,0.0002774436434
841,-5.92E-05
840.5,0.0001980038214
840,-4.86E-05
839.5,-0.000147428349
839,0.0001218417165
838.5,2.92E-06
838,0.0002450951433
837.5,9.41E-05
837,0.0001513623283
836.5,-0.0005054976791
836,0.0005152801168
835.5,7.79E-05
835,-8.80E-05
834.5,0.0003433808743
834,-0.0001267691987
833.5,0.0003409436613
833,0.0001651616767
832.5,-1.41E-05
832,3.77E-05
831.5,-1.04E-05
831,0.0001722443412
830.5,-0.0005341093638
830,0.0002115946263
829.5,0.0001984964183
829,-3.95E-05
828.5,0.0002431320318
828,0.0002202105825
827.5,0.0001546836575
827,-0.0002977834665
826.5,0.0004441865603
826,-5.47E-05
825.5,9.57E-06
825,0.0002129082568
824.5,-4.61E-05
824,0.0002207794751
823.5,0.0001268265623
823,8.64E-05
822.5,-1.88E-05
822,-0.0003264916013
821.5,0.0004563670664
821,-6.61E-05
820.5,4.02E-05
820,-7.69E-05
819.5,7.85E-05
819,0.0001950774022
818.5,-0.0001480627107
818,-0.0001361037284
817.5,-0.0002173625253
817,6.26E-05
816.5,3.37E-06
816,8.50E-05
815.5,-0.0001958736684
815,0.0001526697743
814.5,-0.0005618197611
814,0.0002059050603
813.5,0.0005347639672
813,6.31E-05
812.5,0.0001611251209
812,-0.0001085974654
811.5,4.66E-05
811,9.87E-05
810.5,-0.0002811934683
810,-0.0001607804588
809.5,0.0001839695178
809,-0.0001512907911
808.5,0.0003147702373
808,0.0001135610873
807.5,0.0001323634206
807,-0.0001517512865
806.5,0.0004062899388
806,-9.90E-05
805.5,-0.000118011747
805,0.0002249008103
804.5,0.0001915191388
804,0.0001408285461
803.5,-0.0003427643678
803,0.0001321616146
802.5,7.03E-05
802,0.0001509419671
801.5,0.0003544858482
801,0.0001512646704
800.5,8.70E-05
800,3.50E-05
799.5,-0.0002104789019
799,8.24E-05
798.5,4.18E-05
798,-6.10E-05
797.5,-0.0002019929234
797,1.53E-05
796.5,9.15E-05
796,0.0002304164373
795.5,0.0002014602651
795,7.23E-05
794.5,0.0004279293062
794,0.0003100838221
793.5,0.000156897906
793,-3.68E-05
792.5,1.44E-05
792,-1.13E-05
791.5,-0.000365725602
791,0.0005214271368
790.5,-2.04E-05
790,3.87E-05
789.5,0.0001514721662
789,9.96E-05
788.5,4.54E-05
788,0.0002932715288
787.5,0.0001702578011
787,3.97E-05
786.5,0.000146211285
786,-7.44E-05
785.5,0.0001192727577
785,0.0004998331424
784.5,0.0001508108835
784,0.0001243370352
783.5,5.36E-05
783,2.40E-05
782.5,0.0001394231076
782,0.0002545679745
781.5,0.000119083561
781,-6.87E-05
780.5,0.0001067521225
780,0.0002589404758
779.5,0.0003314084315
779,0.000122106343
778.5,-0.0001209075781
778,0.0001090566002
777.5,7.53E-05
777,0.0001493562595
776.5,8.75E-05
776,-4.16E-05
775.5,0.0002095993113
775,0.0001223439904
774.5,-1.98E-05
774,8.14E-05
773.5,6.51E-05
773,0.0002006021823
772.5,-0.0001633293141
772,-3.27E-05
771.5,2.79E-05
771,1.04E-05
770.5,0.000517082226
770,0.0003953938722
769.5,0.0002925523731
769,0.0001086456905
768.5,-8.61E-05
768,-8.45E-05
767.5,0.0001021480348
767,-0.0001129511002
766.5,-0.0001096386113
766,-0.0001457489561
765.5,2.99E-05
765,-0.0003003126767
764.5,0.0004152216716
764,2.84E-05
763.5,0.0005753267906
763,-0.0001488765411
762.5,0.0001368090743
762,-0.000499266549
761.5,0.0002072169736
761,0.0002349220886
760.5,7.85E-05
760,-9.68E-05
759.5,0.0001733739191
759,0.0001157177539
758.5,5.98E-05
758,0.0003580269404
757.5,0.0001471840951
757,0.0001874033624
756.5,-0.0001193588687
756,-6.84E-05
755.5,-0.0002666345972
755,2.70E-05
754.5,0.0005773472949
754,-0.0001742861205
753.5,2.79E-05
753,0.0001374087879
752.5,1.23E-05
752,-0.0002130150679
751.5,0.000234207575
751,6.20E-05
750.5,4.85E-05
750,-3.29E-05
749.5,5.11E-06
749,-0.0001058527923
748.5,0.0002583881142
748,-0.0002159185824
747.5,5.23E-05
747,2.90E-06
746.5,-5.99E-05
746,0.0001391249389
745.5,4.52E-05
745,-6.57E-05
744.5,0.0001468399423
744,3.47E-05
743.5,-9.12E-06
743,0.0002643018379
742.5,-0.0001822433987
742,0.000438468036
741.5,-0.000132692745
741,4.76E-05
740.5,0.0002812349412
740,0.0001451293647
739.5,-0.0002079890255
739,2.36E-05
738.5,0.0002481748525
738,-2.65E-05
737.5,3.50E-06
737,0.0002367994457
736.5,-4.08E-05
736,3.84E-05
735.5,2.52E-05
735,1.97E-05
734.5,0.0002953333606
734,0.0001507397246
733.5,4.93E-05
733,0.0002608613577
732.5,5.13E-05
732,-9.04E-05
731.5,5.73E-05
731,1.48E-05
730.5,0.0002491991618
730,0.0001165071444
729.5,0.0001070733779
729,0.0001769254304
728.5,1.98E-05
728,0.0001957461063
